article_id,article_title,article_date,sentence,category,voice
3156,Lebanese hold their breath as mediators scramble to avert all-out war,2024-08-14," The  current  round  of  conflict  here  began  last  October  when  Hamas  gunmen  stormed  out  of  Gaza  and  killed  about  1,200  people  in  southern  Israel,  most  of  them  civilians. ",israel,ACTIVE
3156,Lebanese hold their breath as mediators scramble to avert all-out war,2024-08-14," It’s  already  all-out  war  in  Gaza,  where  Israel  has  killed  almost  40,000  Palestinians  at  last  count,  according  to  figures  from  the  Hamas  run    health  ministry  –  data  the  World  Health  Organisation  regards  as  credible. ",palestine,ACTIVE
3156,Lebanese hold their breath as mediators scramble to avert all-out war,2024-08-14," Everyone’s  worried  about  Israel,  what  about  the  39,000  people  Israel  has  killed?”",palestine,ACTIVE
3156,Lebanese hold their breath as mediators scramble to avert all-out war,2024-08-14," “The  whole  world  sees  children,  women  and  the  elderly  being  massacred  every  day  in  front  of  the  cameras  and  nobody  notices,”  he  says. ",palestine,PASSIVE
3156,Lebanese hold their breath as mediators scramble to avert all-out war,2024-08-14, “People’s  children  are  being  killed  in  front  of  their  eyes. ,palestine,PASSIVE
