article_id,article_title,article_date,sentence,category,voice
12326,Two dead after hospital in north Gaza targeted - Hamas-run health ministry.,2024-10-19, Two  dead  after  hospital  in  north  Gaza  targeted  -  Hamas-run  health  ministry. ,palestine,
12326,Two dead after hospital in north Gaza targeted - Hamas-run health ministry.,2024-10-19, The  Hamas-run  health  ministry  says  two  patients  died  after  the  Indonesian  Hospital  in  northern  Gaza  was  hit  by  Israeli  gunfire. ,palestine,ACTIVE
12326,Two dead after hospital in north Gaza targeted - Hamas-run health ministry.,2024-10-19," The  ministry  says  the  patients  died  ""as  a  result  of  the  hospital’s  siege  and  the  power  and  medical  supplies  being  cut  off""  It  adds  that  Israeli  forces  “continue  to  besiege  the  hospital”  and  crews  are  unable  to  reach  the  generators. ",palestine,ACTIVE
