article_id,article_title,article_date,sentence,category,voice
12407,Israel confirms death of Hamas leader.,2024-10-18," Yahya  Sinwar,  the  leader  of  Hamas,  has  been  killed  by  Israeli  soldiers  in  southern  Gaza,  Israel  has  confirmed. ",palestine,PASSIVE
12407,Israel confirms death of Hamas leader.,2024-10-18," Sinwar  had  led  the  armed  group  in  Gaza  since  2017  and  was  described  by  Israel,  the  US  and  UK  as  the  mastermind  behind  the  7  October  attacks  -  when  Hamas  gunmen  killed  around  1,200  people  in  Israel  and  took  251  hostages. ",israel,ACTIVE
12407,Israel confirms death of Hamas leader.,2024-10-18," Medics  in  northern  Gaza  say  at  least  22  people  were  killed,  and  dozens  wounded,  in  an  Israeli  air  strike  on  a  school  building. ",palestine,PASSIVE
