article_id,article_title,article_date,sentence,category,voice
2990,"Hamas will not join Gaza ceasefire talks, senior official says",2024-08-14," The  Israeli  military  launched  a  campaign  in  Gaza  to  destroy  Hamas  in  response  to  an  unprecedented  attack  on  southern  Israel  on  7  October,  during  which  about  1,200  people  were  killed  and  251  others  were  taken  hostage. ",israel,PASSIVE
2990,"Hamas will not join Gaza ceasefire talks, senior official says",2024-08-14," More  than  39,960  people  have  been  killed  in  Gaza  since  then,  according  to  the  territory's  Hamas-run  health  ministry. ",palestine,PASSIVE
2990,"Hamas will not join Gaza ceasefire talks, senior official says",2024-08-14," Last  week,  the  leaders  of  the  US,  Egypt  and  Qatar  issued  a  joint  statement  calling  on  Israel  and  Hamas  to  resume  urgent  discussions  on  a  deal  that  would  bring  relief  to  the  people  of  Gaza  as  well  as  the  111  remaining  hostages,  39  of  whom  are  presumed  dead. ",israel,
2990,"Hamas will not join Gaza ceasefire talks, senior official says",2024-08-14, The  third  would  see  the  start  of  a  major  reconstruction  plan  for  Gaza  and  the  return  of  dead  hostages'  remains. ,israel,
