article_id,article_title,article_date,sentence,category,voice
12225,UN warns Israel over ‘potential destruction’ of population in north Gaza.,2024-10-22," A  video  circulating  on  social  media  from  Jabalia  in  northern  Gaza  on  Monday  showed  an  individual  running  in  panic  between  dead  and  injured  people  at  a  United  Nations  school,  sheltering  displaced  people,  after  an  Israeli  attack. ",palestine,
12225,UN warns Israel over ‘potential destruction’ of population in north Gaza.,2024-10-22, It  is  unclear  how  many  people  were  killed  in  the  attack. ,israel,PASSIVE
12225,UN warns Israel over ‘potential destruction’ of population in north Gaza.,2024-10-22," Previously,  the  Palestinian  news  agency  Wafa  reported  that  29  people  had  been  killed  in  five  attacks  in  northern  Gaza  on  Monday. ",palestine,PASSIVE
