article_id,article_title,article_date,sentence,category,voice
2921,"Deadly Israeli strike targeted 'spotter' on Beit Lahia building's roof, official says",2024-10-30," Gaza’s  Hamas-run  health  ministry  said  more  than  90  Palestinians,  including  25  children,  were  killed  or  missing  beneath  the  rubble  of  the  building,  which  collapsed  as  a  result  of  the  strike. ",palestine,PASSIVE
2921,"Deadly Israeli strike targeted 'spotter' on Beit Lahia building's roof, official says",2024-10-30, “We  rushed  to  help  and  host  them  but  their  daughter  [died]  in  our  home. ,palestine,
2921,"Deadly Israeli strike targeted 'spotter' on Beit Lahia building's roof, official says",2024-10-30,"The  director  of  the  nearby  Kamal  Adwan  hospital  -  which  only  has  two  doctors  and  limited  nursing  staff  following  an  Israeli  raid  last  week  -  said  in  a  voice  message  recorded  on  Tuesday,  external  that  it  had  received  the  bodies  of  more  than  25  people  killed  in  the  strike  and  that  another  77  were  trapped  under  the  rubble. ",palestine,ACTIVE
2921,"Deadly Israeli strike targeted 'spotter' on Beit Lahia building's roof, official says",2024-10-30," Hundreds  of  people  have  reportedly  been  killed  since  the  Israeli  military  launched  a  ground  offensive  in  Beit  Lahia  as  well  as  neighbouring  Jabalia  and  Beit  Hanoun  on  6  October,  saying  it  was  acting  against  regrouping  Hamas  fighters. ",palestine,PASSIVE
2921,"Deadly Israeli strike targeted 'spotter' on Beit Lahia building's roof, official says",2024-10-30," Israel  launched  a  campaign  to  destroy  Hamas  in  response  to  the  group's  unprecedented  attack  on  southern  Israel  on  7  October  2023,  in  which  about  1,200  people  were  killed  and  251  others  were  taken  hostage. ",israel,PASSIVE
2921,"Deadly Israeli strike targeted 'spotter' on Beit Lahia building's roof, official says",2024-10-30," More  than  43,160  people  have  been  killed  in  Gaza  since  then,  according  to  the  territory's  Hamas-run  health  ministry. ",palestine,PASSIVE
