article_id,article_title,article_date,sentence,category,voice
12643,"At least 29 people killed in Israeli attacks on Gaza, medics say.",2024-10-13," At  least  29  people  killed  in  Israeli  attacks  on  Gaza,  medics  say. ",palestine,ACTIVE
12643,"At least 29 people killed in Israeli attacks on Gaza, medics say.",2024-10-13," We're  re-starting  our  live  coverage,  as  the  Reuters  news  agency  reports  at  least  29  people  have  been  killed  in  Israeli  air  strikes  in  the  central  and  northern  Gaza  Strip  on  Saturday  and  overnight,  citing  medics. ",palestine,PASSIVE
12643,"At least 29 people killed in Israeli attacks on Gaza, medics say.",2024-10-13," An  estimated  150  Palestinians  have  been  killed  there  over  the  past  week,  according  to  health  officials  in  Gaza. ",palestine,PASSIVE
