article_id,article_title,article_date,sentence,category,voice
12221,"More than 42,700 people killed in Gaza since 7 October, says health ministry.",2024-10-22," More  than  42,700  people  killed  in  Gaza  since  7  October,  says  health  ministry. ",palestine,ACTIVE
12221,"More than 42,700 people killed in Gaza since 7 October, says health ministry.",2024-10-22," At  least  42,718  people  have  been  killed  in  the  Gaza  Strip  since  Hamas's  attack  on  Israel  on  7  October  last  year,  according  to  the  Hamas-run  health  ministry. ",palestine,PASSIVE
12221,"More than 42,700 people killed in Gaza since 7 October, says health ministry.",2024-10-22, The  update  adds  that  at  least  115  people  have  been  killed  in  seven  Israeli  attacks  over  the  past  48  hours  -  with  rescuers  still  attempting  to  reach  people.  ,palestine,PASSIVE
