article_id,article_title,article_date,sentence,category,voice
12611,"Hamas-run authority says 22 killed, including 15 children, in attack on Gaza school.",2024-10-14," Hamas-run  authority  says  22  killed,  including  15  children,  in  attack  on  Gaza  school. ",palestine,
12611,"Hamas-run authority says 22 killed, including 15 children, in attack on Gaza school.",2024-10-14," An  Israeli  attack  on  a  school  being  used  as  a  shelter  in  central  Gaza  has  killed  at  least  22  people,  including  15  children,  according  to  officials  in  the  territory. ",palestine,ACTIVE
12611,"Hamas-run authority says 22 killed, including 15 children, in attack on Gaza school.",2024-10-14," Meanwhile,  medical  staff  say  a  separate  strike  on  al-Aqsa  hospital  in  central  Gaza  killed  four  people,  leaving  40  others  wounded. ",palestine,ACTIVE
