article_id,article_title,article_date,sentence,category,voice
2865,"At least 33 killed in Israeli strikes in northern Gaza, local officials say",2024-10-18," At  least  33  killed  in  Israeli  strikes  in  northern  Gaza,  local  officials  say  T-I-T-L-E-E-N-D.  ",palestine,
2865,"At least 33 killed in Israeli strikes in northern Gaza, local officials say",2024-10-18," Israeli  strikes  have  killed  at  least  33  people  including  21  women  at  a  refugee  camp  in  northern  Gaza,  the  strip's  Hamas-run  authorities  say. ",palestine,ACTIVE
2865,"At least 33 killed in Israeli strikes in northern Gaza, local officials say",2024-10-18," The  ministry  said  more  than  40  patients,  as  well  as  medical  staff,  were  inside  the  hospital,  and  later  said  two  people  had  died  due  to  an  ""outage  of  electricity""  and  lack  of  ""medical  supplies"". ",palestine,ACTIVE
2865,"At least 33 killed in Israeli strikes in northern Gaza, local officials say",2024-10-18, Hamas  leader  Yahya  Sinwar  was  confirmed  to  have  been  killed  in  Gaza  on  Thursday. ,palestine,PASSIVE
2865,"At least 33 killed in Israeli strikes in northern Gaza, local officials say",2024-10-18," According  to  the  Israeli  military,  he  died  in  a  firefight  after  the  building  where  he  was  hiding  in  the  southern  Gaza  city  of  Rafah  was  struck  with  ""tank  fire"". ",palestine,ACTIVE
2865,"At least 33 killed in Israeli strikes in northern Gaza, local officials say",2024-10-18, The  pathologist  in  Israel  who  conducted  his  autopsy  told  US  media  he  had  been  shot  in  the  head. ,palestine,PASSIVE
2865,"At least 33 killed in Israeli strikes in northern Gaza, local officials say",2024-10-18," The  war  in  Gaza  began  after  Hamas's  attack  on  Israel  on  7  October  2023  left  around  1,200  people  dead,  with  251  taken  to  Gaza  as  hostages. ",israel,ACTIVE
2865,"At least 33 killed in Israeli strikes in northern Gaza, local officials say",2024-10-18," Israel  vowed  to  destroy  Hamas  in  response,  and  since  then  at  least  42,500  people  have  been  killed  and  tens  of  thousands  injured  in  Gaza,  the  Hamas-run  authorities  say.   ",palestine,PASSIVE
