article_id,article_title,article_date,sentence,category,voice
12215,"Israel 'killed 18 militants' in strike on Gaza former school site, IDF says.",2024-10-22," Israel  'killed  18  militants'  in  strike  on  Gaza  former  school  site,  IDF  says. ",palestine,ACTIVE
12215,"Israel 'killed 18 militants' in strike on Gaza former school site, IDF says.",2024-10-22," Just  now,  Israel  says  it  killed  “at  least  18  Hamas  and  Islamic  Jihad  terrorists”  when  it  struck  a  site  previously  used  as  a  school  in  Gaza  last  week. ",palestine,ACTIVE
12215,"Israel 'killed 18 militants' in strike on Gaza former school site, IDF says.",2024-10-22, The  Hamas-run  Civil  Defence  agency  said  at  the  time  that  at  least  22  people  had  been  killed  and  dozens  more  wounded. ,palestine,PASSIVE
