article_id,article_title,article_date,sentence,category,voice
2975,Glasgow vigil on eve of 7 October attacks anniversary,2024-10-06," The  war  began  when  Hamas  gunmen  attacked  Israel  on  7  October  last  year,  killing  about  1,200  people  and  taking  251  others  as  hostages. ",israel,ACTIVE
2975,Glasgow vigil on eve of 7 October attacks anniversary,2024-10-06," Israel  responded  with  a  military  campaign  in  Gaza  that  has  now  killed  at  least  41,825  people,  according  to  the  Hamas-run  health  ministry. ",palestine,ACTIVE
2975,Glasgow vigil on eve of 7 October attacks anniversary,2024-10-06," The  sister  of  Bernard  Cowan,  who  was  killed  by  Hamas  gunmen  in  Southern  Israel  during  the  7  October  attack  was  also  at  the  vigil. ",israel,PASSIVE
