article_id,article_title,article_date,sentence,category,voice
12279,Seven Gazans reported dead in latest Jabalia attack.,2024-10-21, Seven  Gazans  reported  dead  in  latest  Jabalia  attack. ,palestine,
12279,Seven Gazans reported dead in latest Jabalia attack.,2024-10-21," An  Israeli  operation  at  the  Jabalia  refugee  camp  in  northern  Gaza  has  killed  seven  people  today,  according  to  local  media  and  a  journalist  on  the  ground  speaking  to  the  BBC. ",palestine,ACTIVE
12279,Seven Gazans reported dead in latest Jabalia attack.,2024-10-21," After  Israeli  forces  ordered  an  evacuation  from  a  school  in  the  centre  of  the  camp,  seven  people  were  reportedly  killed  by  artillery  fire,  with  their  bodies  taken  to  the  Kamal  Adwan  hospital  nearby. ",palestine,PASSIVE
12279,Seven Gazans reported dead in latest Jabalia attack.,2024-10-21," Yesterday,  one  of  the  most  senior  IDF  soldiers  to  have  died  in  the  past  year  was  killed  near  the  camp. ",israel,ACTIVE
12279,Seven Gazans reported dead in latest Jabalia attack.,2024-10-21," Yesterday,  one  of  the  most  senior  IDF  soldiers  to  have  died  in  the  past  year  was  killed  near  the  camp. ",israel,PASSIVE
