article_id,article_title,article_date,sentence,category,voice
3280,"Three Hamas leaders killed months ago, IDF says",2024-10-03," Three  Hamas  leaders  killed  months  ago,  IDF  says  T-I-T-L-E-E-N-D.  ",palestine,ACTIVE
3280,"Three Hamas leaders killed months ago, IDF says",2024-10-03," The  Israel  Defense  Forces  (IDF)  has  announced  that,  three  months  ago,  it  killed  three  senior  Hamas  leaders  in  Gaza. ",palestine,ACTIVE
3280,"Three Hamas leaders killed months ago, IDF says",2024-10-03, The  IDF  said  they  were  hiding  in  an  underground  compound  in  northern  Gaza  and  were  killed  by  air  strikes. ,palestine,PASSIVE
3280,"Three Hamas leaders killed months ago, IDF says",2024-10-03," The  deaths  announced  on  Thursday  add  to  the  list  of  prominent  Hamas  leaders  killed  in  the  last  year,  since  Hamas's  unprecedented  attack  on  Israel  on  7  October  and  the  ensuing  war  in  Gaza. ",palestine,
3280,"Three Hamas leaders killed months ago, IDF says",2024-10-03," In  August,  the  Israeli  military  said  it  shot  dead  Hamas's  leader  Wissam  Khazem,  during  a  major  operation  in  the  West  Bank. ",palestine,ACTIVE
3280,"Three Hamas leaders killed months ago, IDF says",2024-10-03," In  August,  the  Israeli  military  said  it  shot  dead  Hamas's  leader  Wissam  Khazem,  during  a  major  operation  in  the  West  Bank. ",palestine,
3280,"Three Hamas leaders killed months ago, IDF says",2024-10-03," Separately,  Hamas  political  leader  Ismail  Haniyeh  was  killed  in  an  explosion  in  the  Iranian  capital,  Tehran,  in  July. ",palestine,PASSIVE
