article_id,article_title,article_date,sentence,category,voice
2955,Gaza ceasefire mediators in bid to ‘narrow gaps’,2024-08-16," The  Israeli  military  launched  a  campaign  in  Gaza  to  destroy  Hamas  in  response  to  an  unprecedented  attack  on  southern  Israel  on  7  October,  during  which  about  1,200  people  were  killed  and  251  others  were  taken  hostage. ",israel,PASSIVE
2955,Gaza ceasefire mediators in bid to ‘narrow gaps’,2024-08-16," More  than  40,000  people  have  been  killed  in  Gaza  since  then,  according  to  the  territory's  Hamas-run  health  ministry. ",palestine,PASSIVE
2955,Gaza ceasefire mediators in bid to ‘narrow gaps’,2024-08-16," Israel  says  111  hostages  are  still  being  held,  39  of  whom  are  presumed  dead. ",israel,
2955,Gaza ceasefire mediators in bid to ‘narrow gaps’,2024-08-16, The  third  would  see  the  start  of  a  major  reconstruction  plan  for  Gaza  and  the  return  of  dead  hostages'  remains. ,israel,
