article_id,article_title,article_date,sentence,category,voice
2982,"Hamas leader Sinwar was killed in my ruined house, Gaza man tells BBC",2024-10-19," Hamas  leader  Sinwar  was  killed  in  my  ruined  house,  Gaza  man  tells  BBC  T-I-T-L-E-E-N-D.  ",palestine,PASSIVE
2982,"Hamas leader Sinwar was killed in my ruined house, Gaza man tells BBC",2024-10-19, A  Palestinian  man  from  Gaza  has  told  the  BBC  that  the  house  the  former  Hamas  leader  Yahya  Sinwar  was  killed  in  was  his  home  for  15  years  before  he  had  to  flee  in  May. ,palestine,PASSIVE
2982,"Hamas leader Sinwar was killed in my ruined house, Gaza man tells BBC",2024-10-19," Sinwar,  the  key  figure  behind  the  7  October  attacks  on  Israel,  was  killed  by  Israeli  troops  on  Wednesday. ",palestine,PASSIVE
2982,"Hamas leader Sinwar was killed in my ruined house, Gaza man tells BBC",2024-10-19, The  Israeli  military  released  drone  footage  that  it  said  showed  Sinwar  in  a  partially  destroyed  house  before  he  was  killed.  ,palestine,PASSIVE
2982,"Hamas leader Sinwar was killed in my ruined house, Gaza man tells BBC",2024-10-19, The  BBC  has  verified  that  pictures  and  videos  provided  by  Mr  Abo  Taha  of  his  home  match  imagery  of  the  house  where  Sinwar  was  killed. ,palestine,PASSIVE
2982,"Hamas leader Sinwar was killed in my ruined house, Gaza man tells BBC",2024-10-19, Who  will  lead  Hamas  after  killing  of  Yahya  Sinwar? ,palestine,
