article_id,article_title,article_date,sentence,category,voice
2942,Family of aid worker killed in Gaza call for inquiry,2024-09-04, Everyone  in  the  convoy  was  killed. ,palestine,PASSIVE
2942,Family of aid worker killed in Gaza call for inquiry,2024-09-04," Israel  launched  its  military  campaign  in  Gaza    in  response  to  Hamas's  unprecedented  attack  on  southern  Israel  on  7  October  during  which  about  1,200  were  killed  and  251  were  taken  hostage. ",israel,PASSIVE
2942,Family of aid worker killed in Gaza call for inquiry,2024-09-04," More  than  40,000  people  have  been  killed  in  Gaza  since  then,  according  to  the  territory's  Hamas-run  health  ministry. ",palestine,PASSIVE
