article_id,article_title,article_date,sentence,category,voice
2938,Families of Gaza hostages call on UK government to 'do more',2024-09-30," They  held  a  news  conference  in  London,  along  with  the  relatives  of  other  British-Israelis  murdered  on  7  October,  following  a  memorial  event  at  Downing  Street. ",israel,
2938,Families of Gaza hostages call on UK government to 'do more',2024-09-30, His  British  sister  Lianne  and  UK-Israeli  nieces  Noiya  and  Yahel  Sharabi  were  murdered  on  7  October. ,israel,PASSIVE
2938,Families of Gaza hostages call on UK government to 'do more',2024-09-30," Ayelet  Svatitzky’s  British-Israeli  brothers,  Nadav  and  Roi  Popplewell,  were  killed. ",israel,PASSIVE
2938,Families of Gaza hostages call on UK government to 'do more',2024-09-30,"Israel  launched  a  military  campaign  in  Gaza  in  response  to  the  unprecedented  attack  on  southern  Israel  on  7  October  by  Hamas  gunmen,  during  which  about  1,200  people  were  killed  and  251  taken  hostage. ",israel,PASSIVE
2938,Families of Gaza hostages call on UK government to 'do more',2024-09-30," At  least  41,615  people  have  been  killed  in  Gaza  since  then,  according  to  the  territory's  Hamas-run  health  ministry. ",palestine,PASSIVE
