article_id,article_title,article_date,sentence,category,voice
13028,Calls to 'halt the country' through strike action grow.,2024-09-01," Families  and  friends  of  the  hostages  have  been  holding  weekly  anti-government  demonstrations  since  251  people  were  taken  captive  on  7  October  after  Hamas  carried  out  a  deadly  attack  on  southern  Israel  that  killed  about  1,200  people. ",israel,ACTIVE
13028,Calls to 'halt the country' through strike action grow.,2024-09-01," More  than  40,738  people  have  been  killed  in  Gaza  since  then,  according  to  the  territory's  Hamas-run  health  ministry.  ",palestine,PASSIVE
