article_id,article_title,article_date,sentence,category,voice
3073,Israel rescues Bedouin hostage held by Hamas in Gaza,2024-08-27,"The  Israeli  military  launched  a  campaign  to  destroy  Hamas  in  response  to  the  unprecedented  attack  on  southern  Israel  on  7  October,  during  which  about  1,200  people  were  killed  and  251  others  were  taken  hostage. ",israel,PASSIVE
3073,Israel rescues Bedouin hostage held by Hamas in Gaza,2024-08-27," More  than  40,430  people  have  been  killed  in  Gaza  since  then,  according  to  the  territory's  Hamas-run  health  ministry. ",palestine,PASSIVE
3073,Israel rescues Bedouin hostage held by Hamas in Gaza,2024-08-27," US,  Egyptian  and  Qatari  mediators  are  trying  to  broker  a  ceasefire  deal  that  would  see  Hamas  release  the  104  hostages  still  being  held,  including  34  who  are  presumed  dead,  in  exchange  for  Palestinian  prisoners  in  Israeli  jails. ",israel,ACTIVE
