article_id,article_title,article_date,sentence,category,voice
2920,Couple killed by Hezbollah rocket fire in northern Israel,2024-10-09, Couple  killed  by  Hezbollah  rocket  fire  in  northern  Israel  T-I-T-L-E-E-N-D.  ,israel,ACTIVE
2920,Couple killed by Hezbollah rocket fire in northern Israel,2024-10-09, Two  civilians  have  been  killed  and  several  others  wounded  after  the  Lebanese  armed  group  Hezbollah  fired  at  least  150  rockets  into  northern  Israel. ,israel,PASSIVE
2920,Couple killed by Hezbollah rocket fire in northern Israel,2024-10-09," These  were  the  first  Israeli  civilians  killed  by  Hezbollah  since  the  conflict  escalated  two  weeks  ago,  when  Israel  launched  an  intense  air  campaign  targeting  the  Iran-backed  group  before  invading  southern  Lebanon. ",israel,
