article_id,article_title,article_date,sentence,category,voice
12413,"Sinwar killed by tank after making mistake, IDF tells BBC.",2024-10-17," Sinwar  killed  by  tank  after  making  mistake,  IDF  tells  BBC. ",palestine,ACTIVE
12413,"Sinwar killed by tank after making mistake, IDF tells BBC.",2024-10-17," An  Israel  Defense  Forces  (IDF)  spokesperson  has  shared  more  details  on  how  Sinwar  was  killed,  speaking  to  the  BBC  World  Service’s  Newshour  programme. ",palestine,PASSIVE
12413,"Sinwar killed by tank after making mistake, IDF tells BBC.",2024-10-17," A  tank  returned  fire,  and  he  was  killed  in  that  attack. ",palestine,PASSIVE
