article_id,article_title,article_date,sentence,category,voice
2925,Devastating setback for evacuated Gaza teen after surgery,2024-10-11," Hamas  attacked  Israel  on  7  October  2023,  killing  about  1,200  people  and  taking  some  251  back  to  Gaza  as  hostages. ",israel,ACTIVE
2925,Devastating setback for evacuated Gaza teen after surgery,2024-10-11," The  Israeli  military  offensive  that  followed  has  killed  more  than  42,000  people  in  Gaza,  according  to  the  Hamas-run  health  ministry. ",palestine,ACTIVE
2925,Devastating setback for evacuated Gaza teen after surgery,2024-10-11," The  bombardments  have  closed  hospitals,  killed  doctors,  and  overwhelmed  remaining  facilities  with  casualties. ",palestine,ACTIVE
