article_id,article_title,article_date,sentence,category,voice
12352,IDF says Hamas leader's bodyguard killed.,2024-10-18, IDF  says  Hamas  leader's  bodyguard  killed. ,palestine,ACTIVE
12352,IDF says Hamas leader's bodyguard killed.,2024-10-18," Yahya  Sinwar's  bodyguard  has  been  killed  by  Israeli  forces  in  southern  Gaza,  the  Israel  Defense  Forces  (IDF)  says. ",palestine,PASSIVE
12352,IDF says Hamas leader's bodyguard killed.,2024-10-18," The  IDF  had  previously  reported  Mahmoud  Hamdan  dead  in  an  air  strike  on  10  September,  claiming  at  the  time  he  was  killed  alongside  ""dozens  of  additional  terrorists""  under  his  command  in  the  Tal  al-Sultan  battalion. ",palestine,ACTIVE
12352,IDF says Hamas leader's bodyguard killed.,2024-10-18," The  IDF  had  previously  reported  Mahmoud  Hamdan  dead  in  an  air  strike  on  10  September,  claiming  at  the  time  he  was  killed  alongside  ""dozens  of  additional  terrorists""  under  his  command  in  the  Tal  al-Sultan  battalion. ",palestine,PASSIVE
