article_id,article_title,article_date,sentence,category,voice
12667,Reuters: 20 people killed in Israeli air strikes on Jabalia on Friday night.,2024-10-12, Reuters:  20  people  killed  in  Israeli  air  strikes  on  Jabalia  on  Friday  night. ,palestine,
12667,Reuters: 20 people killed in Israeli air strikes on Jabalia on Friday night.,2024-10-12," At  least  20  people  have  been  killed  and  dozens  wounded  by  Israeli  strikes  in  Jabalia  on  Friday  night,  according  to  the  Reuters  news  agency,  citing  medics. ",palestine,PASSIVE
12667,Reuters: 20 people killed in Israeli air strikes on Jabalia on Friday night.,2024-10-12," According  to  Reuters  news  agency,  citing  medics,  61  people  were  killed  in  Israeli  military  attacks  across  the  Gaza  Strip  on  Friday.  ",palestine,PASSIVE
