article_id,article_title,article_date,sentence,category,voice
3285,"Twelve killed in Israeli strike on Gaza school, civil defence says",2024-08-20," Twelve  killed  in  Israeli  strike  on  Gaza  school,  civil  defence  says  T-I-T-L-E-E-N-D.  ",palestine,ACTIVE
3285,"Twelve killed in Israeli strike on Gaza school, civil defence says",2024-08-20," At  least  12  Palestinians  have  been  killed  in  an  Israeli  air  strike  on  a  school  housing  displaced  people  in  Gaza  City,  the  Hamas-run  Civil  Defence  authority  says. ",palestine,PASSIVE
3285,"Twelve killed in Israeli strike on Gaza school, civil defence says",2024-08-20," The  men  were  among  the  251  people  kidnapped  by  Hamas-led  gunmen  in  the  7  October  attacks  on  southern  Israel  last  year,  when  about  1,200  people  were  also  killed. ",israel,PASSIVE
3285,"Twelve killed in Israeli strike on Gaza school, civil defence says",2024-08-20," Israel  launching  an  air  and  ground  campaign  to  destroy  Hamas  in  response,  during  which  more  than  40,170  people  have  been  killed  in  Gaza,  according  to  the  territory's  Hamas-run  health  ministry. ",israel,PASSIVE
3285,"Twelve killed in Israeli strike on Gaza school, civil defence says",2024-08-20," ""The  people  are  gone,  they're  dead. ",palestine,ACTIVE
3285,"Twelve killed in Israeli strike on Gaza school, civil defence says",2024-08-20," The  warning  after  at  least  70  Palestinians  were  killed  in  an  air  strike  on  al-Taba’een  school  in  Gaza  City,  according  to  the  director  of  a  local  hospital. ",palestine,PASSIVE
3285,"Twelve killed in Israeli strike on Gaza school, civil defence says",2024-08-20," The  IDF  said  the  school  had  ""served  as  an  active  Hamas  and  Islamic  Jihad  military  facility"",  and  that  it  had  confirmed  the  identities  of  31  ""terrorists""  who  were  killed. ",palestine,PASSIVE
3285,"Twelve killed in Israeli strike on Gaza school, civil defence says",2024-08-20," Also  on  Tuesday,  the  civil  defence  said  five  people  had  been  killed  in  a  strike  on  a  house  in  Bureij  refugee  camp,  in  central  Gaza,  while  Palestinian  news  agency  Wafa  cited  medical  sources  as  saying  four  had  been  killed  in  nearby  Deir  al-Balah. ",palestine,PASSIVE
3285,"Twelve killed in Israeli strike on Gaza school, civil defence says",2024-08-20," Also  on  Tuesday,  the  civil  defence  said  five  people  had  been  killed  in  a  strike  on  a  house  in  Bureij  refugee  camp,  in  central  Gaza,  while  Palestinian  news  agency  Wafa  cited  medical  sources  as  saying  four  had  been  killed  in  nearby  Deir  al-Balah. ",palestine,PASSIVE
