article_id,article_title,article_date,sentence,category,voice
12405,"Sinwar's death is serious blow to Hamas, but not the end of the war.",2024-10-18, Killing  Yahya  Sinwar  is  Israel's  biggest  victory  so  far  in  the  war  against  Hamas  in  Gaza. ,palestine,
12405,"Sinwar's death is serious blow to Hamas, but not the end of the war.",2024-10-18, The  remaining  hostages  are  not  free  and  Hamas  is  fighting  and  sometimes  killing  Israeli  troops. ,israel,ACTIVE
12405,"Sinwar's death is serious blow to Hamas, but not the end of the war.",2024-10-18," A  year  of  war  has  killed  at  least  42,000  Palestinians  and  left  much  of  Gaza  in  ruins. ",palestine,ACTIVE
