article_id,article_title,article_date,sentence,category,voice
3225,Policewoman killed and 10 injured in shooting in Israel,2024-10-06, Policewoman  killed  and  10  injured  in  shooting  in  Israel  T-I-T-L-E-E-N-D.  ,israel,ACTIVE
3225,Policewoman killed and 10 injured in shooting in Israel,2024-10-06," A  policewoman  has  been  killed  and  10  others  injured  in  a  shooting  in  the  southern  Israeli  city  of  Beersheba,  local  authorities  said. ",israel,PASSIVE
3225,Policewoman killed and 10 injured in shooting in Israel,2024-10-06," The  gunman  was  shot  dead  at  the  scene  after  what  police  described  as  a  ""suspected  terror  attack""  at  the  city's  central  bus  station. ",palestine,PASSIVE
3225,Policewoman killed and 10 injured in shooting in Israel,2024-10-06," The  gunman  was  shot  dead  at  the  scene  after  what  police  described  as  a  ""suspected  terror  attack""  at  the  city's  central  bus  station. ",palestine,
3225,Policewoman killed and 10 injured in shooting in Israel,2024-10-06," Last  week,  seven  people  were  killed  in  a  shooting  and  knife  attack  in  Tel  Aviv  after  a  gunman  opened  fire  at  members  of  the  public  in  the  Jaffa  area. ",israel,PASSIVE
