article_id,article_title,article_date,sentence,category,voice
13001,Israel will respond with full force to hostage deaths - foreign minister.,2024-09-02," In  a  post  on  X,  Katz  blames  Hamas  for  their  deaths,  saying  they  were  ""brutally  executed.   ",israel,PASSIVE
13001,Israel will respond with full force to hostage deaths - foreign minister.,2024-09-02,"   to  instil  fear  and  attempt  to  fracture  Israeli  society""  The  Israel  Defense  Forces  says  the  bodies  were  found  in  an  underground  tunnel  in  southern  Gaza  on  Saturday,  and  they  had  been  killed  shortly  before  troops  arrived. ",israel,PASSIVE
