article_id,article_title,article_date,sentence,category,voice
2881,Biden says ICC war crimes arrest warrant 'outrageous',2024-11-22," The  ICC  also  issued  an  arrest  warrant  for  Benjamin  Netanyahu's  now  sacked  defence  minister  Yoav  Gallant,  and  a  Hamas  commander,  Mohammed  Deif,  who  Israel  says  was  killed  in  July. ",palestine,PASSIVE
2881,Biden says ICC war crimes arrest warrant 'outrageous',2024-11-22," The  ICC  prosecutor's  case  against  Netanyahu,  Gallant  and  Deif  stems  from  7  October  2023,  when  Hamas  gunmen  attacked  Israel,  killing  about  1,200  people  and  taking  251  others  back  to  Gaza  as  hostages. ",israel,ACTIVE
2881,Biden says ICC war crimes arrest warrant 'outrageous',2024-11-22," Israel  responded  by  launching  a  military  campaign  to  eliminate  Hamas,  during  which  at  least  44,000  people  have  been  killed  in  Gaza,  according  to  the  territory's  Hamas-run  health  ministry. ",palestine,PASSIVE
