article_id,article_title,article_date,sentence,category,voice
2822," Israeli strikes on southern Gaza kill 51, says Hamas-run health ministry",2024-10-02,"  Israeli  strikes  on  southern  Gaza  kill  51,  says  Hamas-run  health  ministry  T-I-T-L-E-E-N-D.  ",palestine,ACTIVE
2822," Israeli strikes on southern Gaza kill 51, says Hamas-run health ministry",2024-10-02," Israeli  air  strikes  and  a  ground  operation  targeting  the  Khan  Younis  area  in  southern  Gaza  have  killed  at  least  51  people,  according  to  Gaza's  Hamas-run  health  ministry. ",palestine,ACTIVE
2822," Israeli strikes on southern Gaza kill 51, says Hamas-run health ministry",2024-10-02," Palestinian  news  agency  Wafa  reported  that  at  least  nine  civilians  were  killed  at  Muscat  School,  in  the  Tuffah  neighbourhood  of  Gaza  City,  and  that  six  others  were  killed  at  the  Al-Amal  Institute  for  Orphans,  in  the  Rimal  neighbourhood. ",palestine,PASSIVE
2822," Israeli strikes on southern Gaza kill 51, says Hamas-run health ministry",2024-10-02," Palestinian  news  agency  Wafa  reported  that  at  least  nine  civilians  were  killed  at  Muscat  School,  in  the  Tuffah  neighbourhood  of  Gaza  City,  and  that  six  others  were  killed  at  the  Al-Amal  Institute  for  Orphans,  in  the  Rimal  neighbourhood. ",palestine,PASSIVE
2822," Israeli strikes on southern Gaza kill 51, says Hamas-run health ministry",2024-10-02," Later,  the  Al-Amal  Institute  for  Orphans  said  in  a  Facebook  post,  external  that  eight  people  were  killed  and  a  large  number  wounded,  including  children  and  women,  when  an  Israeli  strike  hit  one  of  its  buildings  housing  hundreds  of  displaced  civilians. ",palestine,PASSIVE
2822," Israeli strikes on southern Gaza kill 51, says Hamas-run health ministry",2024-10-02," Gaza's  Civil  Defence  officials  also  said  that  three  people  had  been  killed  and  15  injured  when  Israel  on  Wednesday  bombed  Nuseirat  Girls'  School  in  central  Gaza,  the  site  of  a  refugee  camp. ",palestine,PASSIVE
2822," Israeli strikes on southern Gaza kill 51, says Hamas-run health ministry",2024-10-02," But  one  man  from  Qizan  al-Najjar  village,  south-east  of  Khan  Younis,  told  BBC  Arabic  that  some  of  his  relatives  had  been  killed  in  the  attack. ",palestine,PASSIVE
2822," Israeli strikes on southern Gaza kill 51, says Hamas-run health ministry",2024-10-02," The  war  began  when  Hamas  gunmen  attacked  Israel  on  7  October  last  year,  killing  about  1,200  people  and  taking  251  others  as  hostages. ",israel,ACTIVE
2822," Israeli strikes on southern Gaza kill 51, says Hamas-run health ministry",2024-10-02," Israel  responded  with  a  military  campaign  in  Gaza  that  has  now  killed  a  total  of  41,689  people,  according  to  the  health  ministry. ",palestine,ACTIVE
