article_id,article_title,article_date,sentence,category,voice
12821,Palestinian man killed during Iranian missile attack.,2024-10-01, Palestinian  man  killed  during  Iranian  missile  attack. ,palestine,ACTIVE
12821,Palestinian man killed during Iranian missile attack.,2024-10-01, The  Palestinian  civil  defence  authority  in  the  occupied  West  Bank  city  of  Jericho  says  a  man  there  died  during  the  Iranian  missile  barrage. ,palestine,ACTIVE
12821,Palestinian man killed during Iranian missile attack.,2024-10-01," According  to  the  AFP  news  agency,  which  has  spoken  to  city  governor  Hussein  Hamayel,  the  victim  was  killed  by  falling  rocket  debris. ",palestine,PASSIVE
